current_reputation,cost,response_time(SLA),rt_st1(measured),rt_st2(measured),rt_st3(measured),rt_st4(measured),rt_st5(measured),rt_st6(measured),rt_st7(measured),rt_st8(measured),rt_st9(measured),rt_st10(measured),rt_st11(measured),rt_st12(measured),rt_st13(measured),rt_st14(measured),rt_st15(measured)
1,0.04,22.22463658,30.7440153,20.45938308,22.83346715,23.0998693,23.65130095,22.69232439,24.09687162,21.48416749,13.97812396,33.1634469,13.97812396,20.72985136,20.77234524,11.92373854,22.48170632
5,0.04,208.7679106,216.9921774,209.4574155,210.5087462,211.3858885,210.1177837,208.5719335,208.8927304,203.0305659,219.5279515,215.731574,219.5279515,205.6989809,212.5018975,199.9978881,208.5983558
3,0.01,267.8739074,257.1341324,267.0115182,268.8587008,268.5038718,266.7307513,267.7263428,269.2305853,275.3679102,259.7670586,265.473715,259.7670586,266.2928251,265.9317281,259.4543515,268.380445
4,0.04,267.8739074,276.7345669,261.7382563,267.5919001,271.3251205,268.5963359,266.9918399,268.9157905,261.4471358,259.3906241,261.5313518,259.3906241,268.9718927,264.8953649,278.0780039,268.5840506
5,0.05,208.7679106,199.2328547,200.3762336,209.1254202,209.9729414,209.3117552,208.1231895,209.1067174,206.9199634,219.1278728,200.5395007,219.1278728,207.470901,211.22571,200.3550024,208.6091054
5,0.05,247.8687696,239.6410184,243.4429142,248.3357699,249.5402193,249.8989503,248.1107597,248.4118811,240.5443224,238.9805447,237.78258,238.9805447,244.8468144,244.4069164,258.7507942,248.7927573
2,0.08,84.61187857,94.28203144,75.70954121,83.72542844,86.23018933,82.41369061,85.24895752,85.67152666,77.48838576,74.59200386,79.75744628,74.59200386,85.68014448,86.66305537,76.36345576,84.67144213
3,0.07,229.9901892,219.35642,235.2352752,231.928042,230.704158,232.1345964,231.9449963,231.7503058,235.6016686,220.9228101,226.8989126,220.9228101,228.9802593,232.7229873,219.4255511,229.2154094
2,0.14,198.2015429,189.3421002,190.1355098,199.9820357,198.3708132,200.9030452,199.1413861,198.8088217,199.2954381,189.397097,205.9652919,189.397097,197.0014148,196.6785406,207.7458954,197.6954492
5,0.14,84.61187857,95.25903195,80.68700279,85.18424218,87.70093683,83.14603277,84.08218471,85.70518792,77.07921411,75.71173491,75.5631193,75.71173491,87.22088659,83.45683002,74.18735328,83.6151701
5,0.14,120.2916199,111.4434028,116.6077713,122.2348765,120.5886838,123.8185432,119.3887141,121.1164909,116.3813316,129.3661539,112.5900818,129.3661539,123.146418,118.0601651,129.6083526,121.5597235
3,0.16,296.1017329,286.9643971,285.3909617,297.181088,296.7664338,293.7162083,295.4835937,297.7505975,304.0588244,285.1136726,285.6165119,285.1136726,298.2429037,298.7298551,285.916142,296.1022027
1,0.09,247.8687696,237.5615044,243.7569542,247.9470691,250.6089375,250.4249178,247.5534495,247.3959232,242.1986196,237.9132665,257.3806619,237.9132665,249.5388913,249.3952005,258.8571609,249.3502698
2,0.09,22.22463658,31.52641136,17.84401384,24.08666288,23.9438795,24.10462994,23.64231461,23.36988642,29.57792994,11.6447967,22.07761506,11.6447967,24.72992765,20.93772648,32.31180813,23.98613242
5,0.17,57.48572885,66.94362641,50.14237619,56.71196024,59.87617214,60.52997535,59.39825243,57.3712947,56.44364799,68.08612303,57.55981507,68.08612303,59.53303382,61.25322807,66.38480429,58.7326669
